UID        PID  PPID  C STIME TTY          TIME CMD
ccsadmin 17050 17636  0 07:13 ?        00:00:00 postgres: postgres midpoint 127.0.0.6(49771) idle
root     17600     2  0 Mar04 ?        00:00:56 [jbd2/nvme4n1-8]
root     17601     2  0 Mar04 ?        00:00:00 [ext4-rsv-conver]
root     17620  3870  0 Mar04 ?        00:00:26 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/ad31cb37027910682fbfe3f40b0f16c72ca6f935274d5a1d1155918cdadd314b -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
ccsadmin 17636 16324  0 Mar13 ?        00:03:22 /opt/bitnami/postgresql/bin/postgres -D /bitnami/postgresql/data --config-file=/opt/bitnami/postgresql/conf/postgresql.conf --external_pid_file=/opt/bitnami/postgresql/tmp/postgresql.pid --hba_file=/opt/bitnami/postgresql/conf/pg_hba.conf
ccsadmin 17637 17636  0 Mar13 ?        00:00:00 postgres: logger   
ccsadmin 17638 17636  0 Mar13 ?        00:00:04 postgres: startup   recovering 000000010000000000000009
ccsadmin 17639 17636  0 Mar13 ?        00:00:02 postgres: checkpointer   
ccsadmin 17640 17636  0 Mar13 ?        00:00:02 postgres: background writer   
ccsadmin 17641 17636  0 Mar13 ?        00:00:35 postgres: stats collector   
ccsadmin 17642 17636  0 Mar13 ?        00:02:43 postgres: walreceiver   streaming 0/93B1650
ccsadmin 17647 17636  0 Mar13 ?        00:02:01 postgres: repmgr repmgr postgres-ha-postgresql-ha-postgresql-2.postgres-ha-postgresql-ha-postgresql-headless.persistent.svc.cluster.local(47976) idle
root     17663 17620  0 Mar04 ?        00:00:00 /pause
ccsadmin 17754 17636  0 09:11 ?        00:00:00 postgres: postgres midpoint 127.0.0.6(52629) idle
ec2-user 17892 18299  0 Mar04 ?        00:04:17 /opt/couchbase/bin/goport -graceful-shutdown=false -window-size=524288
ec2-user 17897 17892  1 Mar04 ?        05:55:23 /opt/couchbase/bin/indexer -adminPort=9100 -scanPort=9101 -httpPort=9102 -streamInitPort=9103 -streamCatchupPort=9104 -streamMaintPort=9105 -vbuckets=1024 -cluster=127.0.0.1:8091 -storageDir=/opt/couchbase/var/lib/couchbase/data/@2i -diagDir=/opt/couchbase/var/lib/couchbase/crash -nodeUUID=6bb991066056b03a1b4ce1ece8546621 -ipv6=false -isEnterprise=false
ec2-user 17913 18299  0 Mar04 ?        00:00:51 /opt/couchbase/bin/goport -graceful-shutdown=false -window-size=524288
root     17916  3870  0 Mar04 ?        00:00:27 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/0b603e4d763b65109ae4e28b60e20747d0065b87194dd09c448612c3a76d253e -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
ec2-user 17922 17913  1 Mar04 ?        04:06:07 /opt/couchbase/bin/projector -kvaddrs=127.0.0.1:11210 -adminport=:9999 -diagDir=/opt/couchbase/var/lib/couchbase/crash -ipv6=false 127.0.0.1:8091
ec2-user 17953 18299  0 Mar04 ?        00:02:00 /opt/couchbase/bin/goport -graceful-shutdown=false -window-size=524288
